,STATE,MONTH,IVM,CUMULATIVE_IVM,CFR,DEATHS,CASES_PER_1000,CASES,POPULATION,VAX,CUMULATIVE_VAX,IVM/CASE,DEATHS_PER_1000
222,NEUQUEN,2021-03-01,377.687,4176.75,0.0179000801496126,67,6.801324286705892,3743,550334,79.58439784,123.962903,55531.39125247128,0.00012174424985554227
223,NEUQUEN,2021-04-01,370.438,4547.188,0.0164366568460226,106,11.718338318184957,6449,550334,103.6933935,227.656296,31611.819862304234,0.0001926103057416042
224,NEUQUEN,2021-05-01,1522.731,6069.919,0.0207757650189335,406,35.50934523398519,19542,550334,153.1869737,380.84327,42882.54232698803,0.0007377338125574651
226,RIO NEGRO,2020-04-01,16.216,21.947,0.0511811023622047,13,0.4010268814318238,254,633374,0.0,0.0,40436.19206299212,2.0524997868557914e-05
227,RIO NEGRO,2020-05-01,9.0,30.947,0.0284360189573459,6,0.3331365038665938,211,633374,0.0,0.0,27015.95260663507,9.473075939334421e-06
228,RIO NEGRO,2020-06-01,9.0,39.947,0.0641025641025641,40,0.9851998976907798,624,633374,0.0,0.0,9135.201923076924,6.315383959556282e-05
229,RIO NEGRO,2020-07-01,10.034,49.981,0.0428449014567266,50,1.842513270200545,1167,633374,0.0,0.0,5445.822378748929,7.894229949445352e-05
230,RIO NEGRO,2020-08-01,11.819,61.8,0.0364253393665158,161,6.978499275309691,4420,633374,0.0,0.0,1693.6306122171948,0.0002541942043721403
231,RIO NEGRO,2020-09-01,23.374,85.174,0.0312195121951219,224,11.32821997745408,7175,633374,0.0,0.0,2063.3427004878044,0.00035366150173515176
232,RIO NEGRO,2020-10-01,120.198,205.372,0.0246205435933639,279,17.891482757422946,11332,633374,0.0,0.0,6718.168730321215,0.0004404980311790506
233,RIO NEGRO,2020-11-01,329.009,534.381,0.0162466419342458,127,12.341839102962863,7817,633374,0.0,0.0,26658.02051503134,0.00020051344071591194
234,RIO NEGRO,2020-12-01,271.644,806.025,0.0199972606492261,146,11.527154572180102,7301,633374,2.792978556,2.79297856,23565.572778523492,0.00023051151452380426
235,RIO NEGRO,2021-01-01,1130.525,1936.55,0.014385653758991,146,16.023707951384175,10149,633374,9.771477831,12.5644564,70553.27040595133,0.00023051151452380426
236,RIO NEGRO,2021-02-01,443.937,2380.487,0.0221323685890615,104,7.418997306488742,4699,633374,27.10562795,39.6700843,59837.87049116834,0.0001641999829484633
237,RIO NEGRO,2021-03-01,271.277,2651.764,0.0249385317878468,71,4.494974533214183,2847,633374,60.84240907,100.512493,60351.17618475588,0.000112098065282124
238,RIO NEGRO,2021-04-01,337.371,2989.135,0.0195957413979324,127,10.232500860471063,6481,633374,123.4704929,223.982986,32970.532287301336,0.00020051344071591194
239,RIO NEGRO,2021-05-01,725.37,3714.505,0.0261618716408473,331,19.97555946407652,12652,633374,126.9565849,350.939571,36312.87530667088,0.0005225980226532822
241,SALTA,2020-04-01,11.531,16.126,0.1666666666666666,1,0.0049374304130901,6,1215207,0.0,0.0,2335425.3195,8.229050688483526e-07
244,SALTA,2020-07-01,66.095,148.414,0.0091623036649214,7,0.6286994726001414,764,1215207,0.0,0.0,105129.72076570679,5.7603354819384685e-06
245,SALTA,2020-08-01,117.98,266.394,0.0395791583166332,158,3.2850370348426234,3992,1215207,0.0,0.0,35914.35918336674,0.0001300190008780397
246,SALTA,2020-09-01,738.582,1004.976,0.0589675576412976,578,8.06611548485155,9802,1215207,0.0,0.0,91566.00861803713,0.00047563912979434777
247,SALTA,2020-10-01,967.517,1972.493,0.0535970649226351,336,5.158791876610323,6269,1215207,0.0,0.0,187547.20545844632,0.00027649610313304647
248,SALTA,2020-11-01,132.051,2104.544,0.0372531418312387,83,1.8334324933941295,2228,1215207,0.0,0.0,72023.92260188509,6.830112071441326e-05
249,SALTA,2020-12-01,123.761,2228.305,0.0262206148282097,29,0.910133006146278,1106,1215207,1.989784456,1.98978446,135981.22380379745,2.3864246996602225e-05
250,SALTA,2021-01-01,429.778,2658.083,0.0342105263157894,52,1.250815704649496,1520,1215207,8.161572473,10.1513569,343598.180293421,4.2791063580114336e-05
251,SALTA,2021-02-01,228.075,2886.158,0.0341985990935311,83,1.997190602094952,2427,1215207,24.31437607,34.465733,114197.91368974041,6.830112071441326e-05
252,SALTA,2021-03-01,218.901,3105.059,0.0327533265097236,96,2.4119347567945213,2931,1215207,54.24178761,88.7075206,90757.43006038894,7.899888660944185e-05
253,SALTA,2021-04-01,328.21,3433.269,0.0202038587550054,111,4.521040448252849,5494,1215207,89.8258486,178.533369,72596.12112668365,9.134246264216714e-05
254,SALTA,2021-05-01,305.074,3738.343,0.0226422524118921,230,8.359069689361567,10158,1215207,112.4845397,291.017909,36496.16659952747,0.00018926816583512108
258,SAN JUAN,2020-06-01,7.929,43.82,0.1111111111111111,1,0.0132269883470232,9,680427,0.0,0.0,599456.187,1.469665371891474e-06
260,SAN JUAN,2020-08-01,5.48,56.136,0.0574162679425837,12,0.307160062725318,209,680427,0.0,0.0,17840.861052631582,1.7635984462697688e-05
261,SAN JUAN,2020-09-01,25.408,81.544,0.0859232175502742,47,0.8039069584246362,547,680427,0.0,0.0,31605.64756124315,6.907427247889928e-05
262,SAN JUAN,2020-10-01,264.701,346.245,0.0359116022099447,65,2.660094323123568,1810,680427,0.0,0.0,99508.12559502764,9.552824917294581e-05
263,SAN JUAN,2020-11-01,2054.231,2400.476,0.0214327090171847,111,7.611396961025944,5179,680427,0.0,0.0,269888.8273097123,0.00016313285627995362
264,SAN JUAN,2020-12-01,279.88,2680.356,0.0123026926648096,53,6.33131842210847,4308,680427,1.615162244,1.61516224,44205.64270194986,7.789226471024813e-05
265,SAN JUAN,2021-01-01,234.351,2914.707,0.0172481379851038,44,3.7491163636951503,2551,680427,6.597327854,8.2124901,62508.32923441788,6.466527636322486e-05
266,SAN JUAN,2021-02-01,132.465,3047.172,0.0159189580318379,22,2.031077543954017,1382,680427,16.58370406,24.7961942,65219.07565484805,3.233263818161243e-05
267,SAN JUAN,2021-03-01,158.278,3205.45,0.0149855907780979,26,2.549869420231708,1735,680427,62.38729504,87.1834892,62072.982539481265,3.8211299669178324e-05
268,SAN JUAN,2021-04-01,371.133,3576.583,0.0163740964744062,111,9.962861556052305,6779,680427,119.9540877,207.137577,37251.64681973742,0.00016313285627995362
269,SAN JUAN,2021-05-01,654.097,4230.68,0.0174356631643063,229,19.302584994422617,13134,680427,88.93386065,296.071437,33886.49759547738,0.00033655337016314754
275,SAN LUIS,2020-08-01,13.129,50.935,0.0157480314960629,2,0.2942621203555242,127,431588,0.0,0.0,44616.68387401575,4.634049139457075e-06
276,SAN LUIS,2020-09-01,44.218,95.153,0.0203452527743526,33,3.758213852099688,1622,431588,0.0,0.0,11765.695551171393,7.646181080104173e-05
277,SAN LUIS,2020-10-01,259.591,354.744,0.0231921404412948,144,14.38640555344449,6209,431588,0.0,0.0,18044.18755161862,0.0003336515380409094
278,SAN LUIS,2020-11-01,819.912,1174.656,0.0197170379289584,131,15.394311241276402,6644,431588,0.0,0.0,53260.71346417821,0.0003035302186344384
279,SAN LUIS,2020-12-01,131.767,1306.423,0.0189090909090909,26,3.185908783376739,1375,431588,4.145156955,4.14515696,41359.313451636364,6.0242638812941974e-05
